difficulty,importance,scheduled_duration,category,location,fixed_time,time_difference,real_duration
0.584,0.727,56,work,home,21:30,7.5,60.0
0.323,1.0,36,work,office,22:15,8.25,66.1
0.483,0.987,21,health,gym,,-1,47.2
0.513,0.082,20,personal,store,,-1,23.4
0.913,0.729,96,study,office,16:45,0.75,112.7
0.667,0.305,33,study,cafe,10:18,-4.7,0.0
0.185,0.388,84,personal,store,,-1,80.5
0.311,0.179,11,errand,store,08:18,-10.7,0.0
0.242,0.151,68,personal,cafe,09:00,-13.0,0.0
0.792,0.594,54,work,office,11:15,1.25,89.7
0.191,0.629,88,work,home,,-1,83.1
0.0,0.397,29,errand,store,22:45,2.75,29.2
0.454,0.896,74,personal,store,10:18,2.3,87.0
0.449,0.294,77,personal,cafe,20:00,1.0,67.3
0.628,0.978,38,health,home,17:45,1.75,52.6
0.658,0.642,99,work,home,,-1,118.7
0.262,0.375,89,personal,store,,-1,89.5
0.592,0.69,149,social,outdoor,,-1,192.5
0.19,0.568,63,study,office,,-1,78.7
0.394,0.656,33,work,home,,-1,35.3
0.329,0.695,93,study,cafe,,-1,101.1
1.0,0.598,40,work,cafe,11:45,3.75,65.5
0.095,0.306,96,social,outdoor,,-1,113.8
0.213,0.825,109,work,office,,-1,130.8
0.32,0.628,76,study,home,,-1,69.0
0.365,0.679,15,errand,outdoor,11:45,-5.25,0.0
0.073,0.065,19,errand,store,,-1,22.8
0.691,0.633,97,study,office,,-1,125.5
0.474,0.476,40,work,home,,-1,45.2
0.242,0.704,66,work,home,09:15,3.25,64.2
0.577,0.506,117,study,cafe,,-1,134.9
0.653,0.435,60,personal,cafe,,-1,65.9
0.666,0.733,102,work,office,,-1,122.6
0.67,0.56,22,health,home,,-1,24.5
0.367,0.552,118,work,cafe,10:30,1.5,111.3
0.446,0.642,85,study,office,10:45,-4.25,0.0
0.322,0.61,45,personal,home,22:30,11.5,42.4
0.619,0.769,80,study,cafe,,-1,94.5
0.469,0.331,44,work,home,08:00,-6.0,0.0
0.716,0.395,40,health,outdoor,18:45,-0.25,0.0
0.299,0.282,32,errand,outdoor,22:00,16.0,50.6
0.523,0.939,43,work,office,21:45,1.75,73.6
0.642,0.312,52,health,home,,-1,62.4
0.017,0.561,68,social,home,,-1,52.3
0.816,0.749,106,work,cafe,20:45,7.75,161.0
0.409,0.337,108,study,office,09:15,-12.75,0.0
0.477,0.411,174,social,home,13:45,0.75,0.0
0.823,0.695,23,health,gym,,-1,54.0
0.09,0.607,83,personal,home,09:00,-4.0,0.0
0.133,0.321,70,personal,home,12:18,-3.7,0.0
0.209,0.414,22,errand,outdoor,,-1,39.7
0.356,0.288,37,errand,home,,-1,36.6
0.29,0.604,62,personal,home,21:00,3.0,51.8
0.361,0.463,32,personal,cafe,08:30,-11.5,0.0
0.099,0.613,31,study,office,,-1,44.4
0.875,0.821,27,health,gym,11:00,5.0,65.0
0.601,0.466,120,work,office,,-1,154.7
0.321,0.333,179,social,cafe,,-1,182.1
0.796,0.694,93,work,home,20:15,7.25,117.3
